cmeasurementTime;windSpeed;windDirection;solarRadiation;ambientTemperature
2013-01-01 00:05:00.000;7;254;0;7.1
2013-01-01 00:10:00.000;6.1;256;0;7
2013-01-01 00:15:00.000;5.4;253;0;6.8
2013-01-01 00:20:00.000;5.8;252;0;6.8
2013-01-01 00:25:00.000;5.6;254;0;6.7
2013-01-01 00:30:00.000;5.1;246;0;6.6
2013-01-01 00:35:00.000;5.2;240;0;6.6
2013-01-01 00:40:00.000;5.4;239;0;6.7
2013-01-01 00:45:00.000;5.3;235;0;6.7
2013-01-01 00:50:00.000;5.6;239;0;6.7
2013-01-01 00:55:00.000;5.8;238;0;6.6
2013-01-01 01:00:00.000;6.5;240;0;6.4
2013-01-01 01:05:00.000;6.4;236;0;6.2
2013-01-01 01:10:00.000;5.9;231;0;6.1
2013-01-01 01:15:00.000;5.1;225;0;5.8
2013-01-01 01:20:00.000;4.9;225;0;5.5
2013-01-01 01:25:00.000;4.9;233;0;5.5
2013-01-01 01:30:00.000;5.5;243;0;5.8
2013-01-01 01:35:00.000;6.3;247;0;6
2013-01-01 01:40:00.000;6.9;248;0;6.1
2013-01-01 01:45:00.000;8.5;256;0;6.2
2013-01-01 01:50:00.000;7.9;255;0;6.3
2013-01-01 01:55:00.000;6.9;255;0;6.3
2013-01-01 02:00:00.000;6.6;253;0;6.2
2013-01-01 02:05:00.000;6.2;251;0;6.2
2013-01-01 02:10:00.000;5.6;251;0;6.2
2013-01-01 02:15:00.000;5;252;0;6.2
2013-01-01 02:20:00.000;4;252;0;6.1
2013-01-01 02:25:00.000;4.3;236;0;6
2013-01-01 02:30:00.000;4.6;224;0;6
2013-01-01 02:35:00.000;4.3;218;0;5.9
2013-01-01 02:40:00.000;3.3;227;0;5.9
2013-01-01 02:45:00.000;3.6;227;0;5.9
2013-01-01 02:50:00.000;4.8;218;0;5.8
2013-01-01 02:55:00.000;5.3;217;0;5.7
2013-01-01 03:00:00.000;5.5;214;0;5.9
2013-01-01 03:05:00.000;5.5;216;0;5.9
2013-01-01 03:10:00.000;5.9;223;0;6.2
2013-01-01 03:15:00.000;4.8;224;0;6.3
2013-01-01 03:20:00.000;4.4;216;0;6.2
2013-01-01 03:25:00.000;4.3;227;0;6.1
2013-01-01 03:30:00.000;4.2;237;0;6.1
2013-01-01 03:35:00.000;5.3;241;0;6.2
2013-01-01 03:40:00.000;5.2;241;0;6.3
2013-01-01 03:45:00.000;4.8;242;0;6.2
2013-01-01 03:50:00.000;5.2;250;0;6.3
2013-01-01 03:55:00.000;4.8;254;0;6.5
2013-01-01 04:00:00.000;6.3;259;0;6.6
2013-01-01 04:05:00.000;6.4;262;0;6.7
2013-01-01 04:10:00.000;6.8;264;0;6.7
2013-01-01 04:15:00.000;6.5;266;0;6.7
2013-01-01 04:20:00.000;6.1;266;0;6.7
2013-01-01 04:25:00.000;5.2;265;0;6.6
2013-01-01 04:30:00.000;5.1;265;0;6.5
2013-01-01 04:35:00.000;5;262;0;6.5
2013-01-01 04:40:00.000;4.9;266;0;6.4
2013-01-01 04:45:00.000;5.2;267;0;6.4
2013-01-01 04:50:00.000;5.4;265;0;6.4
2013-01-01 04:55:00.000;5.7;262;0;6.4
2013-01-01 05:00:00.000;5.9;259;0;6.3
2013-01-01 05:05:00.000;6.1;257;0;6.4
2013-01-01 05:10:00.000;5.4;256;0;6.4
2013-01-01 05:15:00.000;5.4;254;0;6.4
2013-01-01 05:20:00.000;5.4;254;0;6.4
2013-01-01 05:25:00.000;5;253;0;6.5
2013-01-01 05:30:00.000;4.5;260;0;6.5
2013-01-01 05:35:00.000;4;260;0;6.4
2013-01-01 05:40:00.000;4.9;256;0;6.3
2013-01-01 05:45:00.000;4.8;254;0;6.3
2013-01-01 05:50:00.000;4.9;260;0;6.3
2013-01-01 05:55:00.000;5.4;266;0;6.2
2013-01-01 06:00:00.000;5.6;267;0;6.3
2013-01-01 06:05:00.000;4.6;263;0;6.2
2013-01-01 06:10:00.000;4.4;256;0;6.2
2013-01-01 06:15:00.000;4.5;259;0;6.1
2013-01-01 06:20:00.000;4;255;0;6.1
2013-01-01 06:25:00.000;3.8;255;0;6.1
2013-01-01 06:30:00.000;3.4;250;0;6
2013-01-01 06:35:00.000;3.2;239;0;5.9
2013-01-01 06:40:00.000;3;236;0;5.9
2013-01-01 06:45:00.000;3;234;0;5.9
2013-01-01 06:50:00.000;2.7;237;0;5.8
2013-01-01 06:55:00.000;2.5;223;0;5.7
2013-01-01 07:00:00.000;2.9;233;0;5.7
2013-01-01 07:05:00.000;2.9;244;0;5.7
2013-01-01 07:10:00.000;2.7;245;0;5.7
2013-01-01 07:15:00.000;2.6;236;0;5.7
2013-01-01 07:20:00.000;2.4;228;0;5.7
2013-01-01 07:25:00.000;3;215;1;5.8
2013-01-01 07:30:00.000;3.1;210;1;6
2013-01-01 07:35:00.000;3.2;218;2;6.2
2013-01-01 07:40:00.000;2.6;225;3;6.4
2013-01-01 07:45:00.000;2.4;222;5;6.3
2013-01-01 07:50:00.000;2.6;230;7;6.2
2013-01-01 07:55:00.000;2.2;232;9;6.2
2013-01-01 08:00:00.000;1.5;233;10;6.2
2013-01-01 08:05:00.000;1.7;238;11;6.2
2013-01-01 08:10:00.000;1.7;255;13;6.4
2013-01-01 08:15:00.000;1.8;281;21;6.4
2013-01-01 08:20:00.000;1.7;283;16;6.4
2013-01-01 08:25:00.000;1.4;265;18;6.4
2013-01-01 08:30:00.000;2;243;22;6.4
2013-01-01 08:35:00.000;2.7;233;26;6.5
2013-01-01 08:40:00.000;2.9;234;27;6.5
2013-01-01 08:45:00.000;3.6;240;27;6.5
2013-01-01 08:50:00.000;3.5;231;29;6.6
2013-01-01 08:55:00.000;3.3;229;34;6.5
2013-01-01 09:00:00.000;3.1;230;40;6.5
2013-01-01 09:05:00.000;3.1;238;47;6.5
2013-01-01 09:10:00.000;3.1;233;50;6.6
2013-01-01 09:15:00.000;3.5;240;53;6.6
2013-01-01 09:20:00.000;3.5;253;61;6.6
2013-01-01 09:25:00.000;3.2;250;71;6.5
2013-01-01 09:30:00.000;3.2;241;78;6.5
2013-01-01 09:35:00.000;3.4;243;101;6.5
2013-01-01 09:40:00.000;2.8;247;192;6.4
2013-01-01 09:45:00.000;2.3;234;285;6.5
2013-01-01 09:50:00.000;2.7;244;305;6.7
2013-01-01 09:55:00.000;2.6;239;281;6.7
2013-01-01 10:00:00.000;2.4;242;288;6.9
2013-01-01 10:05:00.000;2.5;242;298;7.1
2013-01-01 10:10:00.000;2.8;231;308;7.2
2013-01-01 10:15:00.000;2.3;225;317;7.4
2013-01-01 10:20:00.000;2.1;232;333;7.6
2013-01-01 10:25:00.000;2.1;260;335;7.8
2013-01-01 10:30:00.000;2.4;276;342;8.1
2013-01-01 10:35:00.000;2.6;283;351;8.3
2013-01-01 10:40:00.000;2.2;269;360;8.3
2013-01-01 10:45:00.000;2.3;283;368;8.4
2013-01-01 10:50:00.000;2.1;259;377;8.4
2013-01-01 10:55:00.000;1.8;258;380;8.5
2013-01-01 11:00:00.000;1.4;237;374;8.8
2013-01-01 11:05:00.000;1.7;245;275;9
2013-01-01 11:10:00.000;2;284;185;9.1
2013-01-01 11:15:00.000;2.1;290;394;9.2
2013-01-01 11:20:00.000;2.2;285;244;9.3
2013-01-01 11:25:00.000;2;265;403;9.3
2013-01-01 11:30:00.000;2.3;265;420;9.5
2013-01-01 11:35:00.000;2.8;262;422;9.7
2013-01-01 11:40:00.000;2.4;276;426;9.9
2013-01-01 11:45:00.000;3.1;278;468;10
2013-01-01 11:50:00.000;3.4;290;454;10.2
2013-01-01 11:55:00.000;5.2;300;467;10.5
2013-01-01 12:00:00.000;4.6;312;472;10.7
